case_id,age,monthly_income,work_years,existing_debt,overdue_count,asset_proof_count,amount,term_months,purpose,debt_income_ratio,ground_truth_risk
CASE_0051,29,3240.28,0.5,8865.4,1,3,2333,24,furniture equipment,0.228,LOW
CASE_0052,30,3787.3,8,25649.5,1,1,5965,27,used car,0.5644,LOW
CASE_0053,25,2868.18,2,4101.5,0,1,1262,12,radio television,0.1192,LOW
CASE_0054,31,3753.33,2,9120.6,0,3,3378,18,used car,0.2025,LOW
CASE_0055,57,2060.19,8,16910.0,1,0,2225,36,new car,0.684,HIGH
CASE_0056,26,2237.14,2,1683.45,0,3,783,6,new car,0.0627,LOW
CASE_0057,52,10780.0,0,17463.6,0,1,6468,12,radio television,0.135,HIGH
CASE_0058,31,5314.44,2,51656.4,2,1,9566,36,radio television,0.81,LOW
CASE_0059,23,2971.21,8,6373.25,0,1,1961,18,new car,0.1788,LOW
CASE_0060,23,5767.59,0.5,47340.4,2,0,6229,36,furniture equipment,0.684,HIGH
CASE_0061,27,3091.11,2,3755.7,0,2,1391,9,business,0.1013,LOW
CASE_0062,50,3415.56,8,11681.2,2,3,1537,15,radio television,0.285,LOW
CASE_0063,61,1808.33,8,7421.4,0,0,1953,36,business,0.342,HIGH
CASE_0064,25,6008.75,2,38936.7,0,1,14421,48,business,0.54,HIGH
CASE_0065,26,4418.06,0.5,12087.8,0,2,3181,24,radio television,0.228,LOW
CASE_0066,48,6407.41,8,78888.0,0,3,5190,27,repairs,1.026,LOW
CASE_0067,29,3618.33,0.5,5861.7,0,1,2171,12,radio television,0.135,LOW
CASE_0068,22,2797.22,2,3826.6,0,4,1007,12,new car,0.114,LOW
CASE_0069,37,1800.0,2,6912.2,0,0,1819,36,education,0.32,HIGH
CASE_0070,25,2216.67,2,9097.2,0,2,2394,36,radio television,0.342,LOW
CASE_0071,30,3872.86,2,17485.95,0,2,8133,36,used car,0.3762,LOW
CASE_0072,46,3476.19,8,5548.0,2,3,730,7,radio television,0.133,LOW
CASE_0073,51,3968.18,8,7566.0,2,0,1164,8,others,0.1589,LOW
CASE_0074,41,2835.24,5,32151.6,2,2,5954,42,business,0.945,LOW
CASE_0075,40,1830.56,8,7512.6,0,1,1977,36,education,0.342,HIGH
CASE_0076,66,4238.89,8,11597.6,2,0,1526,12,used car,0.228,LOW
CASE_0077,34,3146.83,0.5,15067.0,0,1,3965,42,radio television,0.399,HIGH
CASE_0078,51,8674.55,5,12881.7,1,2,4771,11,radio television,0.1237,LOW
CASE_0079,39,3494.81,2,25477.2,0,3,9436,54,used car,0.6075,LOW
CASE_0080,22,2554.67,0.5,10346.4,0,2,3832,30,furniture equipment,0.3375,LOW
CASE_0081,44,4245.0,0.5,25554.9,0,2,5943,24,radio television,0.5017,HIGH
CASE_0082,47,2695.56,8,4609.4,0,3,1213,15,radio television,0.1425,LOW
CASE_0083,24,2375.76,2,5096.0,0,3,1568,18,business,0.1787,LOW
CASE_0084,58,2437.5,8,6669.0,0,2,1755,24,others,0.228,LOW
CASE_0085,52,6313.64,8,7523.75,0,2,2315,10,radio television,0.0993,LOW
CASE_0086,29,3922.22,2,10731.2,2,2,1412,12,business,0.228,LOW
CASE_0087,27,2398.15,0.5,9842.0,2,2,1295,18,furniture equipment,0.342,LOW
CASE_0088,47,6005.71,2,27115.8,0,1,12612,36,education,0.3763,HIGH
CASE_0089,30,4164.81,5,8546.2,0,2,2249,18,new car,0.171,LOW
CASE_0090,28,3077.78,5,8420.8,0,2,1108,12,repairs,0.228,HIGH
CASE_0091,56,1800.0,8,2348.4,2,2,618,12,radio television,0.1087,LOW
CASE_0092,54,3913.89,8,5354.2,2,2,1409,12,used car,0.114,LOW
CASE_0093,33,2213.89,8,3028.6,2,3,797,12,radio television,0.114,HIGH
CASE_0094,20,5023.61,8,27489.2,2,1,3617,24,furniture equipment,0.456,LOW
CASE_0095,54,3661.11,8,5008.4,0,4,1318,12,new car,0.114,LOW
CASE_0096,58,8053.03,0.5,51821.25,0,0,15945,54,business,0.5363,HIGH
CASE_0097,61,5588.89,5,7645.6,2,2,2012,12,education,0.114,LOW
CASE_0098,34,4855.56,2,9963.6,0,2,2622,18,business,0.171,LOW
CASE_0099,36,2163.89,8,8880.6,2,2,2337,36,radio television,0.342,LOW
CASE_0100,36,9623.18,5,45870.5,1,3,7057,20,used car,0.3972,LOW
CASE_0101,41,2040.28,8,5582.2,0,3,1469,24,new car,0.228,LOW
CASE_0102,24,2150.93,5,8827.4,0,1,2323,36,radio television,0.342,LOW
CASE_0103,24,4236.36,2,3029.0,1,2,932,6,radio television,0.0596,LOW
CASE_0104,35,7107.41,5,7292.2,2,1,1919,9,furniture equipment,0.0855,LOW
CASE_0105,26,4075.0,0.5,6601.5,0,2,2445,12,used car,0.135,LOW
CASE_0106,39,9948.33,2,64465.2,2,1,11938,24,others,0.54,HIGH
CASE_0107,39,7175.56,8,34873.2,0,0,6458,18,new car,0.405,HIGH
CASE_0108,32,10130.0,5,16410.6,0,1,6078,12,new car,0.135,LOW
CASE_0109,30,5515.0,0.5,16600.15,0,3,7721,24,furniture equipment,0.2508,LOW
CASE_0110,35,1800.0,8,3031.5,0,3,1410,14,business,0.1403,LOW
CASE_0111,31,4140.0,8,6230.7,1,2,1449,6,business,0.1254,LOW
CASE_0112,23,1800.0,0.5,1489.6,0,2,392,15,education,0.069,LOW
CASE_0113,28,9484.85,5,20345.0,0,2,6260,18,new car,0.1787,LOW
CASE_0114,25,7273.15,2,59698.0,2,2,7855,36,new car,0.684,HIGH
CASE_0115,35,3818.18,8,5460.0,0,3,1680,12,radio television,0.1192,LOW
CASE_0116,47,2484.72,8,13596.4,2,3,3578,48,radio television,0.456,LOW
CASE_0117,30,5693.65,5,27261.2,0,2,7174,42,radio television,0.399,HIGH
CASE_0118,27,4264.0,0.5,11512.8,2,3,2132,10,furniture equipment,0.225,LOW
CASE_0119,23,2223.9,2,18408.3,2,2,4281,33,furniture equipment,0.6898,HIGH
CASE_0120,36,5377.27,5,7689.5,2,2,2366,12,new car,0.1192,LOW
CASE_0121,25,2383.12,2,11927.5,0,2,1835,21,radio television,0.4171,HIGH
CASE_0122,41,5372.22,8,29396.8,2,1,3868,24,used car,0.456,LOW
CASE_0123,24,4018.18,2,5746.0,0,2,1768,12,furniture equipment,0.1192,LOW
CASE_0124,63,2603.33,8,5935.6,2,0,781,10,new car,0.19,LOW
CASE_0125,27,3562.96,0.5,7311.2,0,3,1924,18,furniture equipment,0.171,HIGH
CASE_0126,30,5891.67,2,16119.6,2,2,2121,12,new car,0.228,LOW
CASE_0127,40,1947.22,2,2663.8,0,2,701,12,radio television,0.114,LOW
CASE_0128,30,1800.0,2,2428.2,0,1,639,12,repairs,0.1124,HIGH
CASE_0129,34,5166.67,0,14136.0,2,1,1860,12,used car,0.228,LOW
CASE_0130,29,7952.27,2,22743.5,2,2,3499,12,new car,0.2383,HIGH
CASE_0131,24,3031.07,5,18247.05,0,2,8487,48,new car,0.5017,LOW
CASE_0132,29,6376.85,2,26170.6,1,2,6887,36,education,0.342,HIGH
CASE_0133,27,3610.67,0.5,14623.2,0,2,2708,15,furniture equipment,0.3375,LOW
CASE_0134,47,3674.07,2,15078.4,0,0,1984,18,furniture equipment,0.342,LOW
CASE_0135,21,3381.33,5,27388.8,0,3,10144,60,radio television,0.675,LOW
CASE_0136,38,3444.44,8,9424.0,2,3,1240,12,radio television,0.228,LOW
CASE_0137,27,6380.0,2,46510.2,1,3,8613,27,used car,0.6075,LOW
CASE_0138,66,2127.78,2,2910.8,0,3,766,12,radio television,0.114,HIGH
CASE_0139,35,6062.22,5,31099.2,2,3,2728,15,radio television,0.4275,LOW
CASE_0140,44,3135.0,2,5078.7,0,1,1881,12,radio television,0.135,LOW
CASE_0141,27,2363.33,0.5,1914.3,0,4,709,6,new car,0.0675,LOW
CASE_0142,30,4439.81,0.5,18221.0,0,0,4795,36,radio television,0.342,LOW
CASE_0143,27,3450.51,2,11102.0,0,1,3416,27,radio television,0.2681,LOW
CASE_0144,22,2735.56,2,6647.4,0,1,2462,18,furniture equipment,0.2025,HIGH
CASE_0145,23,3631.75,0.5,8694.4,2,2,2288,21,furniture equipment,0.1995,LOW
CASE_0146,30,2476.39,5,13550.8,0,2,3566,48,business,0.456,LOW
CASE_0147,39,2457.14,8,3698.0,2,0,860,6,new car,0.1254,LOW
CASE_0148,51,1894.44,5,5183.2,2,2,682,12,new car,0.228,LOW
CASE_0149,28,4068.94,2,34911.5,2,2,5371,36,furniture equipment,0.715,LOW
CASE_0150,46,2929.63,8,12023.2,2,3,1582,18,radio television,0.342,LOW
CASE_0151,42,4486.67,8,3634.2,0,1,1346,6,radio television,0.0675,LOW
CASE_0152,38,3298.29,2,4136.6,0,2,1924,10,radio television,0.1045,LOW
CASE_0153,24,5414.81,2,22222.4,0,1,5848,36,radio television,0.342,LOW
CASE_0154,29,6465.0,8,20946.6,2,2,7758,24,used car,0.27,LOW
CASE_0155,36,9676.39,5,26474.6,1,2,6967,24,business,0.228,LOW
CASE_0156,20,2136.67,2,3461.4,0,1,1282,12,furniture equipment,0.135,HIGH
CASE_0157,48,3903.03,8,8372.0,2,3,1288,9,repairs,0.1788,LOW
CASE_0158,45,1800.0,8,1288.2,0,1,339,12,retraining,0.0596,LOW
CASE_0159,38,2926.67,5,18964.8,0,2,3512,24,new car,0.54,LOW
CASE_0160,34,5422.86,2,8161.4,2,3,1898,6,radio television,0.1254,LOW
CASE_0161,36,3263.64,8,9334.0,2,3,2872,24,radio television,0.2383,LOW
CASE_0162,30,1953.7,0.5,8018.0,2,2,1055,18,new car,0.342,LOW
CASE_0163,36,2804.44,5,9591.2,0,3,1262,15,domestic appliances,0.285,LOW
CASE_0164,70,14616.0,0,19731.6,0,0,7308,10,new car,0.1125,LOW
CASE_0165,36,1800.0,8,3454.2,0,3,909,36,new car,0.1599,LOW
CASE_0166,32,8508.57,2,6402.7,0,2,2978,6,furniture equipment,0.0627,LOW
CASE_0167,33,2094.44,0,4297.8,0,1,1131,18,furniture equipment,0.171,HIGH
CASE_0168,20,4778.79,0.5,5992.6,0,4,1577,11,furniture equipment,0.1045,LOW
CASE_0169,25,3310.0,5,10724.4,0,2,3972,24,furniture equipment,0.27,LOW
CASE_0170,31,2687.5,8,14706.0,2,2,1935,24,business,0.456,HIGH
CASE_0171,33,2111.11,8,7220.0,0,1,950,15,new car,0.285,HIGH
CASE_0172,26,2119.44,2,2899.4,0,2,763,12,furniture equipment,0.114,LOW
CASE_0173,34,2345.45,0,6708.0,1,2,2064,24,furniture equipment,0.2383,HIGH
CASE_0174,33,5891.67,2,5373.2,0,2,1414,8,radio television,0.076,LOW
CASE_0175,26,3251.43,0.5,18435.6,1,2,3414,21,education,0.4725,HIGH
CASE_0176,53,8316.67,0,28443.0,0,3,7485,30,used car,0.285,HIGH
CASE_0177,42,4295.0,2,6957.9,0,1,2577,12,furniture equipment,0.135,LOW
CASE_0178,52,1877.78,8,2568.8,2,2,338,6,radio television,0.114,LOW
CASE_0179,31,5452.78,5,14918.8,0,1,1963,12,radio television,0.228,LOW
CASE_0180,65,1800.0,8,4339.6,2,2,571,21,new car,0.2009,LOW
CASE_0181,28,4558.1,0.5,41159.6,1,1,9572,36,business,0.7525,HIGH
CASE_0182,30,2475.0,2,24057.0,1,2,4455,36,business,0.81,HIGH
CASE_0183,40,2614.29,2,12517.2,0,3,1647,21,new car,0.399,HIGH
CASE_0184,50,5245.83,2,14352.6,2,4,3777,24,furniture equipment,0.228,LOW
CASE_0185,36,1800.0,8,3359.2,2,1,884,18,new car,0.1555,HIGH
CASE_0186,31,3022.22,2,10336.0,2,2,1360,15,radio television,0.285,LOW
CASE_0187,74,11397.78,8,13848.3,0,0,5129,9,used car,0.1012,HIGH
CASE_0188,68,1800.0,0,9517.5,2,1,1175,16,new car,0.4406,LOW
CASE_0189,20,1872.22,5,2561.2,0,3,674,12,radio television,0.114,HIGH
CASE_0190,33,3089.52,2,13949.2,0,1,3244,18,furniture equipment,0.3763,LOW
CASE_0191,54,3825.83,2,37187.1,0,4,4591,24,business,0.81,HIGH
CASE_0192,34,2669.44,5,14607.2,0,1,3844,48,business,0.456,HIGH
CASE_0193,36,4833.33,2,14877.0,0,1,3915,27,business,0.2565,HIGH
CASE_0194,29,7026.67,5,5691.6,0,2,2108,6,radio television,0.0675,LOW
CASE_0195,21,2245.19,2,11517.8,0,3,3031,45,radio television,0.4275,HIGH
CASE_0196,34,3335.56,8,8105.4,2,1,1501,9,education,0.2025,HIGH
CASE_0197,28,3948.57,2,5942.6,2,1,1382,6,radio television,0.1254,LOW
CASE_0198,27,2641.67,0.5,14455.2,0,2,951,12,furniture equipment,0.456,HIGH
CASE_0199,36,3833.33,8,10488.0,0,1,2760,24,used car,0.228,LOW
CASE_0200,40,7957.41,8,16328.6,1,0,4297,18,furniture equipment,0.171,HIGH
CASE_0201,52,3466.67,8,7113.6,2,2,936,9,education,0.171,LOW
CASE_0202,27,3244.44,2,4438.4,0,2,1168,12,new car,0.114,LOW
CASE_0203,26,5168.69,5,33260.5,1,1,5117,27,business,0.5362,LOW
CASE_0204,21,2505.56,5,3427.6,0,2,902,12,retraining,0.114,HIGH
CASE_0205,38,4152.78,8,11362.0,2,2,1495,12,new car,0.228,LOW
CASE_0206,38,9657.27,8,103574.25,2,0,10623,30,used car,0.8938,LOW
CASE_0207,43,5375.0,8,22059.0,2,2,1935,12,furniture equipment,0.342,LOW
CASE_0208,26,3955.56,5,5411.2,2,2,1424,12,domestic appliances,0.114,LOW
CASE_0209,21,5473.33,2,17733.6,0,1,6568,24,business,0.27,LOW
CASE_0210,55,3211.36,5,4592.25,0,4,1413,12,used car,0.1192,LOW
CASE_0211,33,5855.24,2,13218.2,2,3,3074,9,radio television,0.1881,LOW
CASE_0212,45,2130.56,8,10354.5,0,3,3835,36,radio television,0.405,LOW
CASE_0213,50,3920.74,0,28582.2,0,2,5293,27,business,0.6075,HIGH
CASE_0214,66,2120.0,8,7250.4,1,2,1908,30,business,0.285,HIGH
CASE_0215,51,3094.44,8,12699.6,2,2,3342,36,radio television,0.342,LOW
CASE_0216,39,2662.86,5,4007.6,2,3,932,6,retraining,0.1254,LOW
CASE_0217,31,4703.03,5,10088.0,0,2,3104,18,business,0.1788,LOW
CASE_0218,23,2173.89,2,10565.1,0,2,3913,36,radio television,0.405,LOW
CASE_0219,24,2517.5,2,8156.7,0,2,3021,24,furniture equipment,0.27,LOW
CASE_0220,64,2728.0,2,3682.8,0,1,1364,10,new car,0.1125,LOW
CASE_0221,26,1800.0,0.5,2375.0,0,2,625,12,radio television,0.11,LOW
CASE_0222,23,3333.33,2,4560.0,0,3,1200,12,education,0.114,LOW
CASE_0223,30,1963.89,2,5373.2,0,2,707,12,radio television,0.228,LOW
CASE_0224,32,4136.11,2,22632.8,1,3,2978,24,business,0.456,LOW
CASE_0225,30,8467.27,2,15135.25,0,1,4657,15,used car,0.149,LOW
CASE_0226,27,2419.44,2,19858.8,0,1,2613,36,repairs,0.684,LOW
CASE_0227,27,3914.64,5,47132.3,0,2,10961,48,radio television,1.0033,HIGH
CASE_0228,53,21847.22,8,29887.0,0,0,7865,12,furniture equipment,0.114,HIGH
CASE_0229,22,5474.07,5,5616.4,0,1,1478,9,radio television,0.0855,HIGH
CASE_0230,22,4373.61,0.5,11966.2,0,0,3149,24,furniture equipment,0.228,LOW
CASE_0231,26,3898.15,2,15998.0,0,1,4210,36,radio television,0.342,HIGH
CASE_0232,51,5571.11,8,6768.9,0,1,2507,9,new car,0.1013,LOW
CASE_0233,35,4865.91,5,6958.25,0,1,2141,12,radio television,0.1192,LOW
CASE_0234,25,1800.0,2,3290.8,0,2,866,18,radio television,0.1524,LOW
CASE_0235,42,7720.0,5,12506.4,2,2,1544,4,radio television,0.135,LOW
CASE_0236,30,2531.94,0,6927.4,0,1,1823,24,radio television,0.228,HIGH
CASE_0237,23,41585.71,0,31293.25,0,3,14555,6,new car,0.0627,HIGH
CASE_0238,61,4392.06,8,21029.2,0,2,2767,21,business,0.399,HIGH
CASE_0239,35,3586.11,2,9811.6,2,2,1291,12,radio television,0.228,LOW
CASE_0240,39,1800.0,8,5422.3,0,2,2522,30,radio television,0.251,LOW
CASE_0241,29,1800.0,8,3477.0,0,2,915,24,new car,0.161,HIGH
CASE_0242,51,7250.0,5,5183.75,0,2,1595,6,radio television,0.0596,LOW
CASE_0243,24,2616.48,8,29932.5,0,0,4605,48,used car,0.9533,HIGH
CASE_0244,27,2693.18,2,7702.5,2,2,1185,12,business,0.2383,LOW
CASE_0245,35,9575.0,2,13098.6,0,3,3447,12,retraining,0.114,LOW
CASE_0246,25,1800.0,5,4780.4,0,2,1258,24,business,0.2213,LOW
CASE_0247,52,1991.67,8,8173.8,2,2,717,12,radio television,0.342,LOW
CASE_0248,35,6688.89,2,4575.2,0,1,1204,6,new car,0.057,LOW
CASE_0249,26,1800.0,2,5197.5,0,2,1925,24,furniture equipment,0.2406,LOW
CASE_0250,22,1800.0,0,1407.25,0,2,433,18,radio television,0.0652,HIGH
CASE_0251,39,3027.27,5,4329.0,2,4,666,6,new car,0.1192,LOW
CASE_0252,46,3215.71,2,4839.65,0,1,2251,12,furniture equipment,0.1254,LOW
CASE_0253,24,2388.89,2,8170.0,0,0,2150,30,new car,0.285,HIGH
CASE_0254,35,3459.17,2,22415.4,1,3,4151,24,furniture equipment,0.54,LOW
CASE_0255,24,4511.11,5,5481.0,0,2,2030,9,furniture equipment,0.1013,LOW
CASE_0256,27,2119.43,2,15948.7,1,3,7418,60,radio television,0.6271,LOW
CASE_0257,35,3727.78,2,20398.4,2,2,2684,24,radio television,0.456,LOW
CASE_0258,29,5969.44,2,8166.2,0,0,2149,12,radio television,0.114,HIGH
CASE_0259,23,4356.57,0.5,8195.8,0,2,3812,15,used car,0.1568,LOW
CASE_0260,57,3496.97,0,13155.6,2,3,1154,11,radio television,0.3135,LOW
CASE_0261,27,2761.67,2,4473.9,0,2,1657,12,furniture equipment,0.135,LOW
CASE_0262,55,2226.39,8,6091.4,0,1,1603,24,radio television,0.228,LOW
CASE_0263,36,5891.11,8,42946.2,2,0,5302,18,new car,0.6075,LOW
CASE_0264,57,4580.0,8,22258.8,2,0,2748,12,education,0.405,LOW
CASE_0265,32,3357.27,8,8001.5,2,2,1231,10,new car,0.1986,LOW
CASE_0266,37,1800.0,8,3047.6,0,1,802,15,radio television,0.1411,HIGH
CASE_0267,36,5837.04,8,47910.4,2,3,6304,36,business,0.684,LOW
CASE_0268,38,2129.17,0.5,5825.4,0,1,1533,24,radio television,0.228,LOW
CASE_0269,45,10993.47,8,19302.7,0,2,8978,14,new car,0.1463,HIGH
CASE_0270,25,1800.0,8,7592.4,0,2,999,24,radio television,0.3515,LOW
CASE_0271,32,4929.63,5,10115.6,0,3,2662,18,new car,0.171,LOW
CASE_0272,37,3186.36,5,4556.5,2,2,1402,12,furniture equipment,0.1192,LOW
CASE_0273,36,8450.69,0,46242.2,0,1,12169,48,new car,0.456,LOW
CASE_0274,28,2125.0,5,23256.0,0,2,3060,48,radio television,0.912,HIGH
CASE_0275,34,6856.0,0.5,25795.7,0,0,11998,30,repairs,0.3135,HIGH
CASE_0276,32,5137.14,2,5798.55,0,2,2697,9,radio television,0.0941,LOW
CASE_0277,26,2671.11,2,12981.6,2,1,2404,18,radio television,0.405,LOW
CASE_0278,49,2103.33,8,3407.4,0,3,1262,12,furniture equipment,0.135,LOW
CASE_0279,32,13174.29,0.5,9913.65,0,2,4611,6,furniture equipment,0.0627,HIGH
CASE_0280,29,2640.28,2,7223.8,0,2,1901,24,radio television,0.228,LOW
CASE_0281,23,6123.64,8,21892.0,2,2,3368,15,used car,0.2979,LOW
CASE_0282,50,4372.22,2,5981.2,0,2,1574,12,furniture equipment,0.114,LOW
CASE_0283,49,2675.93,5,5491.0,0,2,1445,18,radio television,0.171,LOW
CASE_0284,63,3377.78,8,5776.0,2,3,1520,15,furniture equipment,0.1425,LOW
CASE_0285,37,5386.11,0.5,14736.4,2,2,3878,24,new car,0.228,LOW
CASE_0286,35,3910.76,0.5,23052.3,0,2,10722,47,new car,0.4912,LOW
CASE_0287,26,3325.0,5,18194.4,0,2,4788,48,used car,0.456,LOW
CASE_0288,31,3159.17,0,20471.4,1,1,7582,48,others,0.54,LOW
CASE_0289,49,3033.33,2,8299.2,0,2,1092,12,radio television,0.228,LOW
CASE_0290,48,1800.0,0.5,3891.2,1,2,1024,24,radio television,0.1801,HIGH
CASE_0291,26,1800.0,2,2905.2,0,2,1076,12,business,0.1345,LOW
CASE_0292,28,4475.24,0.5,20205.7,0,1,9398,36,used car,0.3762,HIGH
CASE_0293,44,5349.17,8,34662.6,2,0,6419,24,used car,0.54,LOW
CASE_0294,56,3806.35,8,18224.8,2,0,4796,42,used car,0.399,LOW
CASE_0295,46,5297.92,8,57980.4,2,2,7629,48,business,0.912,LOW
CASE_0296,26,3557.14,0.5,21414.0,0,1,9960,48,furniture equipment,0.5017,HIGH
CASE_0297,20,6678.57,0.5,10051.25,0,2,4675,12,used car,0.1254,LOW
CASE_0298,45,4290.0,8,4890.6,0,3,1287,10,new car,0.095,LOW
CASE_0299,43,3810.61,2,8173.75,0,2,2515,18,furniture equipment,0.1787,LOW
CASE_0300,32,3564.94,5,17842.5,2,3,2745,21,furniture equipment,0.4171,LOW
CASE_0301,54,1920.0,0,1444.8,0,2,672,6,new car,0.0627,LOW
CASE_0302,42,3522.22,2,14455.2,0,1,3804,36,radio television,0.342,HIGH
CASE_0303,37,1866.67,5,10214.4,2,3,1344,24,new car,0.456,HIGH
CASE_0304,49,3460.0,5,7888.8,2,2,1038,10,new car,0.19,LOW
CASE_0305,44,4219.58,2,27342.9,2,1,10127,48,new car,0.54,HIGH
CASE_0306,33,8572.22,2,5863.4,0,4,1543,6,furniture equipment,0.057,LOW
CASE_0307,24,3207.33,5,12989.7,0,3,4811,30,used car,0.3375,LOW
CASE_0308,33,2019.44,0.5,2762.6,0,1,727,12,radio television,0.114,HIGH
CASE_0309,24,4217.05,2,4020.25,0,2,1237,8,furniture equipment,0.0794,HIGH
CASE_0310,22,1800.0,2,1048.8,0,2,276,9,new car,0.0486,LOW
CASE_0311,40,3057.39,0,17488.25,0,1,5381,48,others,0.4767,LOW
CASE_0312,25,7654.17,2,20941.8,0,2,5511,24,furniture equipment,0.228,LOW
CASE_0313,26,3124.17,0.5,10122.3,0,1,3749,24,furniture equipment,0.27,LOW
CASE_0314,25,1800.0,5,1849.5,0,1,685,12,new car,0.0856,HIGH
CASE_0315,29,6402.86,0.5,3212.1,0,3,1494,4,new car,0.0418,LOW
CASE_0316,31,2542.59,8,10434.8,0,1,2746,36,furniture equipment,0.342,HIGH
CASE_0317,38,1800.0,2,1911.6,0,2,708,12,furniture equipment,0.0885,LOW
CASE_0318,48,3107.86,2,9354.65,0,3,4351,24,furniture equipment,0.2508,LOW
CASE_0319,32,1947.22,2,5327.6,2,1,701,12,education,0.228,LOW
CASE_0320,27,4163.43,8,15664.9,1,2,3643,15,furniture equipment,0.3135,LOW
CASE_0321,28,4721.11,0,32292.4,2,1,4249,30,new car,0.57,HIGH
CASE_0322,32,2691.67,0.5,7364.4,0,2,1938,24,radio television,0.228,HIGH
CASE_0323,34,2425.0,5,7857.0,0,0,2910,24,used car,0.27,LOW
